Title;2YIF;5YIF;AI;SNIP;SJR
annual review of organizational psychology and organizational behavior;18.333;20.485;8.071;8.886;9.807
academy of management annals;16.438;23.832;11.791;9.324;18.318
international journal of management reviews;13.419;15.493;4.039;5.548;4.475
academy of management review;12.638;18.362;8.486;4.281;8.446
journal of management;11.79;16.662;5.874;5.756;7.491
journal of service management;11.768;9.522;1.682;2.537;2.658
journal of international business studies;11.382;13.555;3.334;4.02;4.819
journal of strategic information systems;11.022;11.832;2.391;4.544;3.133
tourism management;10.967;13.134;2.002;4.163;3.328
leadership quarterly;10.517;11.319;3.317;4.326;4.989
business strategy and the environment;10.302;11.923;1.215;2.598;2.123
academy of management journal;10.194;15.873;7.601;4.233;11.193
organizational research methods;9.391;13.13;5.053;4.172;5.901
strategic entrepreneurship journal;9.289;10.636;3.721;3.242;5.061
journal of innovation and knowledge;9.269;7.422;1.088;4.146;1.72
california management review;8.836;9.287;2.351;2.355;1.806
long range planning;8.802;7.874;1.81;3.072;3.852
corporate social responsibility and environmental management;8.741;9.809;0.86;2.277;1.519
journal of supply chain management;8.647;12.435;2.258;3.053;3.75
strategic management journal;8.641;12.226;5.321;3.882;11.035
journal of knowledge management;8.182;8.72;1.043;2.52;1.841
journal of organizational behavior;8.174;10.952;3.495;3.598;3.938
small business economics;8.164;8.139;1.738;2.704;2.202
research policy;8.11;10.092;2.753;3.663;3.666
academy of management perspectives;7.846;9.642;3.662;2.864;3.376
journal of management information systems;7.838;8.335;1.974;2.884;3.073
global strategy journal;7.571;7.451;2.261;1.872;2.814
information and management;7.555;9.183;1.749;2.946;2.147
journal of manufacturing technology management;7.547;6.063;0.664;1.995;1.29
human resource management review;7.444;8.693;2.262;3.375;2.549
journal of management studies;7.388;10.96;3.846;3.037;4.398
journal of intellectual capital;7.198;8.065;0.806;2.428;1.258
international journal of project management;7.172;9.222;1.327;3.611;2.762
review of managerial science;7.127;5.757;0.92;2.014;1.426
personnel psychology;7.073;11.679;4.921;3.719;6.076
journal of hospitality marketing and management;7.022;6.445;0.891;1.858;1.708
journal of product innovation management;6.987;9.603;2.233;2.67;2.646
journal of operations management;6.97;13.023;3.035;2.47;3.649
industrial marketing management;6.96;8.698;1.25;2.578;2.022
journal of destination marketing and management;6.952;7.755;1.116;2.395;1.703
harvard business review;6.87;8.852;3.876;3.09;0.826
journal of business logistics;6.677;7.362;1.396;1.969;2.611
international journal of operations and production management;6.629;7.306;1.178;2.213;2.158
technovation;6.606;9.761;1.899;2.937;2.3
tourism management perspectives;6.586;6.704;1.011;2.27;1.454
sport management review;6.577;6.589;1.096;2.835;1.566
british journal of management;6.567;7.138;1.883;2.317;2.407
service industries journal;6.539;5.127;0.763;1.375;1.177
international journal of contemporary hospitality management;6.514;8.043;1.064;1.984;2.079
international journal of physical distribution and logistics management;6.309;7.824;1.223;1.884;1.742
organization studies;6.306;8.041;2.971;2.669;4.441
information and organization;6.3;5.866;1.731;2.448;3.298
ieee transactions on engineering management;6.146;4.688;0.883;1.255;0.702
organization and environment;6.116;10.624;1.868;1.221;1.229
journal of hospitality and tourism management;5.959;6.248;0.899;1.933;1.31
international entrepreneurship and management journal;5.94;6.458;0.969;2.309;1.338
journal of information technology;5.824;9.439;2.765;3.247;1.939
journal of technology transfer;5.783;6.552;1.161;2.462;1.768
human relations;5.732;7.11;2.33;2.992;2.91
international journal of logistics management;5.661;5.286;0.73;1.626;1.193
asia pacific journal of management;5.616;6.721;1.242;1.463;1.07
international journal of human resource management;5.546;6.067;1.213;1.842;1.378
journal of purchasing and supply management;5.5;6.044;0.985;1.974;1.708
strategic organization;5.409;6.046;2.508;1.612;3.135
journal of enterprise information management;5.396;5.839;0.71;1.673;0.741
